,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
0,뷰티,[와디즈 최초]20대 딸이랑 50대 엄마랑 함께 쓰는 주름개선 만능 크림,주식회사칼라코드,467%,"2,338,880원","500,000원",54,41,"테라젠의 첫 번째 제품, 20대 딸이랑 50대 엄마가 함께 쓰는 주름개선 만능 크림입니다. 
테라젠 뉴트리션 크림으로 더 빛나고 건강한 피부를 만날 수 있게 되기를 바랍니다^^",2020.02.28-2020.03.06,None
1,뷰티,[2.8억 앵콜] 하루만에 수분140%증가! 임상검증 완료! 갈바닉마스크,반디비타 주식회사,1426%,"14,260,000원","1,000,000원",145,79,지금 쓰는 스킨케어 제품의 수분증발을 잡아주고 유효성분은 갈바닉으로 피부 깊숙히 전달시켜줍니다! 피부 수분증가율 140% 임상검증 완료! 뷰티마스크 프리미엄급 업그레이드!,2021.04.26-2021.05.31,None
2,뷰티,1000개 유명 피부과에 공급되는 시크릿 포뮬러를 담은 33패드 프로그램,(주)코떼랑,1003%,"5,017,500원","500,000원",65,65,"위시포뮬러가 피부과 화장품 제조 20년의 기술과 노하우를 단 한 장의  패드에 담았습니다. 하나씩 뜯어쓰는 간편한 화장품, 33패드를 경험하세요.",2019.04.16-2019.05.06,None
3,뷰티,두피 관리의 핵심은 유분량의 균형입니다! 올솔 모닝-나이트 밸런스 샴푸,올솔 (allsol),1471%,"7,358,800원","500,000원",134,130,"매일 변하는 두피 유분량! 
그런데도 매번 같은 타입의 샴푸 쓰세요? 
두피뿐만 아니라 시간과 상황까지 고려한 신개념 모닝-나이트  밸런스샴푸 출시!",2020.03.13-2020.04.06,None
4,뷰티,컨디셔너 필요없이 그린빈샴푸 하나로 두피와 모발의 건강을 책임집니다.,주라이프 네츄럴 코스메틱 주앤솝,138%,"694,800원","500,000원",30,12,"화학 성분 NO! 모발에 윤기와 탄력을 주며, 비듬이나 가려움을 덜어주며, 컨디셔너 필요 없이 그린빈샴푸 하나로 두피와 모발의 건강을 책임 집니다.",2019.04.26-2019.05.08,None
5,뷰티,"[후기폭주/6만개 판매] 자몽 덕후가 만든 ""리얼 자몽"" 퍼퓸 핸드크림",(주)하늘을담다,2147%,"10,739,400원","500,000원",437,280,"자몽의 달콤쌉싸름함 한 스푼, 톡톡 쏘는 상큼함 두 스푼, 자연으로부터 얻은 봄날의 싱그러움 세 스푼. 

퍼퓸 핸드크림 전문 브랜드의 걸작, Viva La Pink를 만나보세요.",2020.03.27-2020.04.20,None
6,뷰티,[비건인증콜라겐] 매일 한 방울. 탄탄한 피부를 위한 처방 ,(주)호수앤미,3095%,"15,476,000원","500,000원",125,114,"앰플장인이 작정하고 만든 바른 앰플.
 콜라겐과 히알루론산을 듬뿍 담아 피부깊숙히 채우는 피부리셋앰플.",2019.08.28-2019.09.25,None
7,뷰티,아침마다 달라지는 피부! 실화야? 뽑아쓰는 마스크팩,메이베나,697%,"6,973,100원","1,000,000원",144,80,"""아직도 뜯어 쓰시나요? 이제 뜯지 말고 뽑자!""
""자극 없는 5가지 고보습 성분""으로 1일 1팩 이제 편하게 하자! #내 피부를 위한 선물#메이베나 뽑아쓰는 마스크팩",2018.11.26-2018.12.16,None
8,뷰티,[내 손안에 작은 에스테틱 ] 초당 200회 진동의 마법 ! 매직스틱,스킨블랑,445%,"4,453,000원","1,000,000원",137,111,"피부에 닿기만 해도 마법이 일어날 것 같은 ‘티아 매직스틱’ 뷰티 디바이스
언제 어디서나 간편하게 사용할 수 있는 내 손 안의 작은 에스테틱!",2019.10.24-2019.11.17,None
9,뷰티,"왜 세럼은 모두 작고 비쌀까? 목에도 바르는 대용량 ""밀키웨이세럼""",레셀레스트,509%,"15,295,000원","3,000,000원",290,146,지금까지 이런 세럼은 없었다. 99.7% 고순도 히알루론산과 특허받은 기술을 담은 캡슐세럼을 200ml 큰 병에 담았습니다. 작은 병과 비싼 가격으로부터의 세럼독립프로젝트!,2019.02.15-2019.02.28,None
10,뷰티,[앵콜] 명품화장품16년경력으로 만든 급이 다른 선크림 피부야타지마,비케이로웰,6305%,"31,529,400원","500,000원",908,326,"에어 리스 용기로 공기와의 차단을 통해 급이 다른 에센스 효과가 제품을 다 사용 할 때까지 철벽 방어와 철벽 케어를 담당하는 
올인원 선크림 ""피부야 타지마""",2019.04.04-2019.05.01,None
11,뷰티,건조성 가려운 피부 잡는 프리미엄 에센스!,아토큐어힐,151%,"1,519,500원","1,000,000원",26,23,건조함으로 인한 가려운 피부에 보습과 진정의 도움을 주는 프리미엄 에센스로 친보습인자인 아미노산과 7가지 자연추출물을 베이스로 EWG 그린등급의 성분들로만 만들어진 순한 화장품.,2019.03.07-2019.03.24,None
12,뷰티,탈모관리 Biochroma Solution Project,탈모노닉스,504%,"5,043,200원","1,000,000원",105,57,"탈모 집중 관리 Biochroma Solution Project
잘못된 두피관리로 성별과 나이에 관계 없이 한 순간에 찾아오는 탈모! 서포터분께 처음 선보이는 탈모 해결 프로젝트",2018.08.14-2018.09.16,None
13,뷰티,편안하고 기분 좋은 잠자리를 위한 아로마테라피 '스위트 드림',건강한 향기 굿어스 아뜰리에,172%,"3,455,400원","2,000,000원",67,71,"마음에 바르는 향수,
테라퓨틱 등급의 100% 순수한 유기농 에센셜 오일로 만든 스위트 드림 시리즈 4-Step!
건강한 향기로 진정한 릴랙스를 느껴보세요!",2020.03.17-2020.04.12,None
14,뷰티,"[한번에] 머리에도 피부에도 어디에나, 민감성피부도 지성피부도 누구나",디어본,159%,"1,595,500원","1,000,000원",46,13,"좋은 성분은 두피·얼굴·몸·헤어 [어디에나] 한결같습니다.         
˝몸과 마음의 편안함, Dear Vaughn으로 간편하게 누리세요.˝",2019.01.14-2019.01.21,None
15,뷰티,피부관리는 클렌징으로부터ㅣ하나로 끝낸다ㅣ스피나 미라클 듀얼 퍼펙트 클린저,주식회사마린코스 ,59%,"594,000원","1,000,000원",21,11,"[폼 클렌징+클렌징 오일]
딥 클렌징+모공 청소+피지 분비 억제+수분 공급+마사지!!
클렌징 오일과 클렌징 폼이 같이 구성되어 하나로 끝내는 클린저!",2021.04.16-2021.05.31,None
16,뷰티,[1914% 앵콜]후기로 입증된 저분자 히알루론산20000ppm의 흡수력,포레스큐,2682%,"13,412,200원","500,000원",372,396,1914% 펀딩 성공 그리고 서포터님들의 솔직한 후기와 많은 재펀딩 요청으로 급하게 700개 한정으로 돌아온 포레스큐 인필트레이트 앰플.,2019.08.08-2019.09.01,None
17,뷰티,"유해 물질로부터 내 아이의 피부를 지켜줄 좋은 습관 만들기, 유아클렌징폼",고사리숲,111%,"1,115,700원","1,000,000원",45,15,"유해 물질이 넘치는 시대. 내 아이의 피부를 보호할 첫 걸음은 좋은 세안 습관 만들어주기. 제주 청정자연을 담은 ""꼬미 주니어 클렌징폼""",2019.04.18-2019.05.10,None
18,뷰티, <단독 런칭> 최악의 자외선에서 살아남는 호주사람 99%가 아는 선크림,(주)지엘커뮤니케이션즈,325%,"3,253,600원","1,000,000원",86,72,"매일 땡볕에서 바다 수영을 하는 호주 국민들 99%가 아는 선크림, 도대체 뭘까? 땀과 물에 강한 4시간 내수성에 겉은 보송 속은 촉촉한 텍스처까지 갖춘 국민 선크림, 한국 상륙!",2020.07.17-2020.07.27,None
19,뷰티,[한방 함유량 20%!!!] 딸바보 아빠가 만든 프라그마 여성 청결제,주식회사 벨런스알엑스,101%,"508,000원","500,000원",43,19,"딸바보 아빠가 만든 순한 여성청결제
가족을 위한 마음으로 만들어
불필요한 성분을 모두 빼고 좋은 성분만 남겼습니다",2021.03.23-2021.04.20,None
20,None,None,None,None,None,None,None,None,None,None,None
21,뷰티,헐리우드스타에게 브러쉬만들어주던 언니가 만든 메이크업브러쉬 [1+1+1],수앤수 엔터프라이즈,781%,"3,906,000원","500,000원",69,75,"헐리우드 스타에게 브러쉬 만들어주던 언니가 만들었습니다!
귀차니즘과 가격은 빼고 감성과 품질은 더한 시크릿 인조모 브러쉬,
운포키토가 준비한 ~ 컬러에 퐁당! 빠져볼까요?",2021.04.25-2021.05.07,None
22,뷰티,'홍보대사 하고 싶을 만큼 최고입니다' 극찬의 후기로 탄생 60초꿀광패드,Beautyspoon,1069%,"10,691,800원","1,000,000원",193,147,중요한 날 피부 관리 귀찮다(?)고 느끼실 때 정말 많잖아요! '바쁜 아침 빠르고 간편하게 팩을 즐길 순 없을까?' 라는 물음에서 탄생했습니다. '60초꿀광패드' 입니다.,2020.03.27-2020.04.08,None
23,뷰티,하룻밤에 완성되는 립밤 없이 촉촉한 베이글 입술. 강력 영양보습 립마스크,코지랩(주식회사 엔씨이엔엠),327%,"3,273,800원","1,000,000원",126,101,"입술사막 종결템! 립밤 없이 강력한 유효성분과 보습으로 하루종일 촉촉한 입술 24시간 완성
코지 립 마스크의 유효성분 가득 영양보습 입술 수면팩. 오늘 고생한 입술을 재워주세요.",2020.10.04-2020.10.19,None
24,뷰티,[평점 4.7] 12년 속눈썹전문가가 만든 특허성분 찐!속눈썹영양제,(주)에이치에스인터내셔널,2459%,"12,299,500원","500,000원",848,534,"“5,900원” 커피 한 잔 값으로 만나는 건강한 자연 속눈썹!",2020.12.21-2021.01.18,None
25,뷰티,[오.늘.마.감] 하루만에 수분140%증가! 임상&후기검증 갈바닉 마스크,주식회사 지아이,15078%,"150,787,000원","1,000,000원","1,910",1225,지금 쓰는 스킨케어 제품의 수분증발을 잡아주고 유효성분은 갈바닉으로 피부 깊숙히 전달시켜줍니다! 피부 수분증가율 140% 임상검증! 개선된 제품 ver.2로 새롭게 돌아왔습니다!,2020.12.15-2021.01.11,None
26,뷰티,[앵콜4.9평점]3일만에 COOL하게 잠재운다구? #쿨잠크림 #냉장고크림,버진팜스(아이앤아이),829%,"4,145,400원","500,000원",132,101,"****냉장보관하세요!****
피부 열로 스트레스 받은 피부를 시원하게 잠재우는 #쿨잠크림, 푸딩수딩아토! 
<수분+장벽+진정> 3단 맞춤케어 ; 이거 하나로 관리가 됩니다!",2020.09.21-2020.10.12,None
27,뷰티," 저녁보습 아침까지~, 자연그대로 D(아토랑 키즈랑)",다인네 내추럴,100%,"500,800원","500,000원",37,29,"가치있는 도전을 시작합니다. 건강을 위해 한방 추출물로  씻는 불편함을 없애고,  우리 아이들의  피부에 촉촉함을 채워주어  편히 잠들 수 있었으면 좋겠습니다.",2020.03.05-2020.03.31,None
28,뷰티,장성군 축령산 편백잎을 아낌없이 담은 폼클렌징,주식회사 첨단환경,159%,"955,400원","600,000원",30,25,장성군 편백잎을 추출하여 만든  폼클렌징! 편백의 향을 느껴보세요!,2019.06.04-2019.07.03,None
29,뷰티,"지금 까지 이런 남성올인원 제품은 없었다. 미백,주름개선  기능성화장품",주식회사 파마칼인터내셔널,387%,"1,939,900원","500,000원",50,21,"지금까지 이런 남성올인원 화장품은 없었다. 인체줄기세포배양액 , 미백,주름 개선 기능성화장품 ""투엠셀 올인원(Two Im Cell ALL IN ONE)""",2019.07.04-2019.07.18,None
