,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
0,공연·컬쳐,[미친 존재감] 아침부터 밤까지 변화하는 그림이 있다? 게다가 조명까지!,(주)아니,2542%,"50,850,500원","2,000,000원",195,377,"[상상도못한 정체] 낮부터 밤까지 변화하는 ANI 캔버스 
밤이 되면 은은하게 빛나는┗ (･o･ ) ┓ 조명 기능까지?!?!",2020.10.18-2020.11.09,None
1,공연·컬쳐,"아이돌, 또는 대형 기획사 가수만 음반 내는 시대는 끝났다.",나도가수다,20%,"2,060,000원","10,000,000원",11,24,"현재 최고의 뮤직 프로듀서진들과 대한민국 최고의 시설을 자랑하는 스튜디오에서 개인만의 스토리가 담긴 음원 제작 및 모든 음원사이트에 발매 되는 #나도가수다, 프로젝트 입니다.",2018.10.19-2018.11.11,펀딩성공
2,공연·컬쳐,플레이리스트 신작 웹드라마 [한입만] 시즌1을 응원해주세요 !,플레이리스트 ,49%,"12,330,000원","25,000,000원",33,16,플레이리스트 웹드라마 [한입만] 시즌1을 응원해주세요 !,2018.06.19-2018.07.08,펀딩성공
3,공연·컬쳐,지판에 내 이름을 새긴 세상에 오직 하나밖에 없는 나의 커스텀 기타,인포유 ,128%,"2,560,000원","2,000,000원",9,28,"지판에 내 이름을 새긴 
세상에 하나밖에 없는 나의 커스텀 기타",2020.12.24-2021.01.26,None
4,공연·컬쳐,[영화 김군] 5·18을 기억하는 당신과 청소년을 위한 1+1 나눔캠페인,영화 김군,104%,"520,000원","500,000원",33,13,"5·18을 기억하는 당신을 '김군'이  만나러 갑니다.
우리 함께, 이 시대 대한민국 십대들에게 역사의 진실을 전했으면 합니다.",2019.05.27-2019.06.16,None
5,공연·컬쳐,"[의류 광고]사진, 영상, 모델 섭외를 한번에! 스토어 매출 상승 지름길",콩가루필름,0%,0원,"1,000,000원",2,5,"신생 패션 브랜드 및 소상공인, 중소기업을 위한 경쟁력 업그레이드 서비스. 움직이는 착장 영상 및 브랜드 패션 필름을 저렴하게 제공해 드립니다.",2021.04.26-2021.05.24,None
6,공연·컬쳐,"셀럽이 사랑한 바로 그 전시, 이번엔 당신이 주.인.공 입니다.",본다빈치(주) ,130%,"1,300,000원","1,000,000원",61,42,"'Bon Lounge'란 본다빈치(주)가 주관하는 전시, 이벤트, 프로모션, 관련제품에 대하여 VIP 서비스 및 혜택을 누릴 수 있는 특별 기획 프로젝트를 의미합니다.",2018.07.05-2018.07.29,None
7,공연·컬쳐,칠석데이 음반 제작 프로젝트,(주)마인드디자인,101%,"10,172,500원","10,000,000원",222,1,"칠석데이 컴필레이션 '사랑가' 프로젝트,  '사랑가'의 새로운 변신에 여러분들도 함께해 주세요!",2015.06.04-2015.08.03,None
8,공연·컬쳐,"레전드급 뮤지션들의 선택ㅣ자연스러운 울림과 풍부한 사운드, 스윙 어쿠스틱",(주)스윙악기,2482%,"24,820,000원","1,000,000원",117,156,"엄선된 스푸루스탑과 마호가니, 로즈우드 측후판의 조화로 완성 된 따뜻하면서도 맑고 밝은 사운드를 느껴보세요.",2020.07.31-2020.08.24,None
9,공연·컬쳐,"브라운팟, 삶을 노래하다 [토크콘서트, 여러분의 이야기를 들려주세요]",Hyojun Shin,100%,"2,207,000원","2,200,000원",133,1,"하고 싶은 것과 해야 하는 것들에 대한 고민, 삶에 대한 고민,
여러분과 저희들의 모든 고민을 노래하는 
브라운팟 토크콘서트, 5월 2일 홍대 벨로주에서 만나요!",2015.03.24-2015.04.17,None
