,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
0,여행·레저,[업그레이드 앵콜] 봉화로 신형 받침대 출시 기념 앵콜 펀딩!,(주) 동원하이텍,22%,"661,500원","3,000,000원",11,42,"서포터 여러분의 성원에 힘입어 앵콜펀딩!
기존 받침대에서 발전하여 다리가 생겨났답니다.
더욱더 안정된 봉화로와 함께 올겨울 동계 캠핑을 즐겨보세요~",2021.01.18-2021.01.25,펀딩성공
1,여행·레저,심플러 - 천연성분 치약이 코팅된 일회용 칫솔,에스씨유(SCU),206%,"4,137,700원","2,000,000원",94,53,"이를 닦을 때 꼭 치약을 짜야만 할까요? 이 귀찮음을 누가 대신 해줄 수는 없을까요? 그래서 여기 여러분을 위해 칫솔모에 치약이 미리 발라진 일회용칫솔 심플러를 가져왔습니다.
    한국과학창의재단 파트너와 함께합니다.",2017.11.01-2017.11.20,None
2,여행·레저,"품질만큼 놀라운 가격! 신소재 PET로 만든 스마트 캐리어, ZERO",ZERO LUGGAGE (7G),417%,"41,705,600원","10,000,000원",458,623,"더 튼튼하고 안전한 신소재 PETG, 스마트 충전, 더블지퍼, 매립형 TSA락, TPE 더블 휠, 여행필수템이 담긴 GIFT SET 까지! 여행에 집중한 사려깊은 캐리어! ZERO",2018.10.05-2018.10.29,None
3,여행·레저,우리 아이 좌석을 퍼스트클래스로 만들어주는 [젯키즈 베드박스],박세훈(바구스 글로벌),708%,"21,241,800원","3,000,000원",111,74,파일럿 출신의 아빠가 만든 젯키즈 베드박스는 소중한 우리아이의 항공기 좌석을 일등석으로 만들어 주는 노르웨이에서 온 아이용 캐리어겸 베드박스 입니다,2017.06.22-2017.07.12,None
4,여행·레저,스크래치? 파티션? 캐리어 쓰다 불편했던 거 말만 해 [피크 캐리어],(주)공정뮤토,7134%,"71,343,000원","1,000,000원",626,835,"캐리어가 있는데 커버는 왜 또 씌우지? 
지퍼 또 열어야 하네.
누가 캐리어에 파티션 좀 넣어줘요.


캐리어 쓰다 겪어봤을 바로 그 불편함, 뮤토 피크 캐리어가 해결해 드립니다!",2019.05.09-2019.05.30,None
5,여행·레저,"수면의 혁명, 블랙커(BLACKER)",페르소나(persona),369%,"1,846,000원","500,000원",37,66,"가장 진화한 목쿠션, 단단한 고정력으로 수면의 자유를 주다.
    1인창조기업 파트너와 함께합니다.",2018.10.17-2018.11.18,None
6,여행·레저,★앵콜★ 스마트폰보다 가볍고 손바닥보다 작은 폴딩백팩 [4몬스터] ,4몬스터,1739%,"8,699,500원","500,000원",182,125,"24리터의 넉넉한 수납 공간, 손바닥 크기의 파우치에 쏙 들어가는 휴대성까지! 가성비 좋은 초경량 폴딩백팩 [포몬스터]",2019.07.31-2019.08.11,None
7,여행·레저,<세이브그린감성매트> 수분은 튕겨내고 감성은 채워줘요,CCLAN (끌랑),223%,"2,235,500원","1,000,000원",85,85,"BYE-플라스틱! 건강한 피크닉을 위해 만들었습니다. 펀딩 금액은 환경캠페인 뮤직페스티벌 ""그린플러그드2019서울"" 후원금으로 사용됩니다.",2019.04.22-2019.05.12,None
8,여행·레저,손선풍기에도 레벨이 있습니다. 프리미엄 핸디쿨러 JALOUX,(주)매경,7%,"889,000원","11,300,000원",34,31,"휴대용 네모 선풍기 네모네. 대한민국 1% 선택!!! 프리미엄 핸디쿨러 ""JALOUX"". JALOUX을 선택한 당신은 프리미엄. 이제 당신은 시샘 받을 수 있습니다.",2018.10.25-2018.12.14,펀딩성공
9,여행·레저,돌봄프로젝트 1탄 - 가벼운 화로대로 가볍게 떠나는 캠핑! 돌봄캠핑불멍,돌봄,102%,"2,448,501원","2,400,000원",95,80,돌봄프로젝트 1탄 - 전국민 불멍프로젝트! 가성비 끝판왕 캠핑불멍! 간단한 조립 형태로 보관과 사용성이 매우좋은 불멍입니다.,2021.04.07-2021.05.07,None
10,여행·레저,[푸디온] 랜선 낮술 여행 - 홍천 수제막걸리를 찾아 떠나는 힐링여행,푸디온투어,147%,"1,471,000원","1,000,000원",33,24,강원도 홍천 전통주 양조장의 100% 수제 막걸리를 다 함께 낮술로 시음해보는 온라인 랜선 여행입니다. 전통 프리미엄 수제 막걸리를 맛보고 싶으시다면? 푸디온으로 오세요-♡,2020.10.01-2020.10.13,None
11,여행·레저,[오후의 팜맥] 자연 속에서 직접 수제맥주 만들기&나만의 네이처 컬러링,스토리쿡,112%,"560,000원","500,000원",39,16,"바쁜 도시 속 지루한 일상을 벗어나는 방법! 자연속으로의 여행에 초대합니다.
오롯이 나만을 위한 시간을 선물해드려요.",2020.05.25-2020.06.12,None
12,여행·레저,알뜰여행! 할인족을 위한 대한민국 관광지 플랫폼 VIT,브레오코리아,41%,"2,078,500원","5,000,000원",36,1,"알뜰여행을 위한 대한민국 관광지 플랫폼 VIT (Very Important Tourist) 펀딩이 종료되었습니다. 보상품 시계는 사전에 모두 발송해 드렸으며, VIT 모바일쿠폰은 10/1 발송하였습니다. 앞으로 대한민국 관광지 플랫폼 VIT(www.vitkorea.net)에 대한 지속적인 관심과 애정 부탁드립니다. 감사합니다.",2015.09.01-2015.09.30,펀딩성공
13,여행·레저,[1억앵콜] 6만원대 갓성비 캠핑랜턴! 탱크처럼 강력한 랜턴이 돌아왔어요,(주)오이알,5280%,"52,808,300원","1,000,000원",742,416,"캠핑장의 메인 랜턴으로 안성 맞춤인 프로메테우스2가 돌아왔습니다.
강력한 몸집 + 강력한 밝기 + 강력한 지속력으로 우리들 캠핑의 밤을 밝게 비춰보세요!",2021.03.16-2021.04.05,None
14,여행·레저,"[퍼펙트가드] 가벼운 편안함, 도난방지의 새로운 시작 MERGER BAG",컨스파라,6115%,"61,157,000원","1,000,000원",898,727,"새로운 디자인 새로운 원단 새로운 잠금장치, 이젠 일상에서 사용하고 여행 갈 때 챙겨가자!",2019.08.28-2019.09.29,None
15,여행·레저,이번 휴가도 줄서서 씻게요? 야외샤워/설거지/세척엔 휴대용 샤워기ㅣ헬리오,(주)엠케이아웃도어,6056%,"60,569,000원","1,000,000원",609,816,바닷가에서도 캠핑 할 때도 집에서처럼 샤워하고 설거지하고 손 닦을 순 없을까? 미국 캠핑 브랜드 '니모'는 샤워기를 들고 다닐 때 아웃도어 활동이 얼마나 편해지는지 증명해 줍니다!,2020.05.24-2020.06.15,None
16,여행·레저,"[트래비랑 여행가자!] 1회차, 부산 박살내기!!",트래비(TraB),26%,"130,000원","500,000원",23,15,"안녕하세요! 여러분의 여행 동반자, 트래비(TraB)입니다.
코로나19 사태 이후 조금 더 즐겁고 보람찬 여행 하셨으면 해서 이번 프로젝트를 준비했습니다!
1탄! 부산 박살내기!",2020.07.06-2020.08.10,펀딩성공
17,여행·레저,"<글로벌15억펀딩> 옷장을 통째로 삼킨 괴물캐리어, 짐싸기는 이제 5초컷",주식회사 지스트,921%,"9,213,000원","1,000,000원",54,170,<글로벌 15억펀딩> 짐싸기 5초컷 가능! 옷장을 통째로 삼킨 괴물 캐리어가 한국에 상륙했습니다. 이제 짐은 싸는게 아니라 통째로 한방에 옮겨버리는겁니다.,2021.03.01-2021.03.15,None
18,여행·레저,여성을 위한 여행의 소울메이트 ~ ARTG,아트패드,189%,"1,895,500원","1,000,000원",31,34,"ARTG 네오프렌 엠보 숄더백으로 엣지 있는 패션을 완성하세요! 
가벼운 네오프렌 소재에 6중 나염 코팅과 고급스러운 엠보를 입혀 핸드메이드로 완성한 디자인 숄더백입니다.
    여행/레져 기획전 파트너와 함께합니다.",2018.05.28-2018.06.24,None
19,여행·레저,"여행을 기록하는 도트맵, 줄라이닷츠 한국지도",줄라이웍스,3948%,"78,978,801원","2,000,000원","3,989",579,"여행을 언제나 추억하고 꿈꿀 수 있는 하나의 도구, 줄라이닷츠.                
수많은 여행지에서의 추억, 새로운 여행을 기다리는 마음을 소중하게 담아보세요.
    추석 특별 기획전 파트너와 함께합니다.",2017.10.02-2017.10.16,None
20,여행·레저,[3.1절 기념/ 3+1이벤트/ 마지막 앵콜] 독도 알리는 여행자 신분증,골든피스원™,686%,"3,430,000원","500,000원",95,85,"[3.1절 기념/ 3+1이벤트/ 유심어댑터 선물] 독도 알리는 여행자 신분증, '한반도 여권케이스' 마지막 앵콜",2019.02.27-2019.03.13,None
21,여행·레저,"여행을 더 안전하게, 전자소매치기 방지 여행가방 '윈디코너'",윈디코너,1130%,"11,302,000원","1,000,000원",206,127,"안심할 수 있을 때, 
여행은 더 즐거워집니다.",2017.08.25-2017.09.15,None
22,여행·레저,[치얼업메이커]여행필수품!!! BOOKKI 올인원 트래블 키트 :),크레더블(Credible),39%,"399,200원","1,000,000원",22,26,여행의 즐거움을 더해 줄 BOOKKI 올인원 7-스텝 트래블 키트,2019.04.17-2019.05.06,펀딩성공
23,여행·레저,겨울철 필수 아이템! 겨울에는 눈을!  눈을 만드는 사람들  88스노우,투와이,20%,"490,000원","2,450,000원",7,24,"겨울철 필수 아이템. 인공눈 제설기.
겨울에는 눈을!  여름에는 워터스플래시!
눈을 만드는 사람들 88스노우.
88스노우만 있으면 누구나 인공눈을 만들수 있습니다.",2021.04.02-2021.04.26,펀딩성공
24,여행·레저,즐거운 추억을 위하여 - 안전한 여행가방 윈디코너,윈디코너,4704%,"47,042,500원","1,000,000원",660,406,"안심할 수 있을 때, 
여행은 더 즐거워 집니다.",2017.12.05-2018.01.09,None
