,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,디자인소품,바다 플라스틱 쓰레기를 품은 오브제 & 포스터,이티씨 블랭크,1588%,"7,944,000원",26일 남음,215,193,"부산 해안가의 버려진 플라스틱 쓰레기를 수집한 후, 해안 쓰레기의 다양한 형태와 색감을 그대로 담은 오브제와 아카이빙 포스터입니다.",2021.04.23-2021.05.25,"500,000원"
1,디자인소품,내 빗물은 내가 책임진다. 우산빗물받이 비담이,차림스튜디오,398%,"1,993,680원",1일 남음,121,133,비가 오는 날 경계 대상 1호 빗물! 내 우산에서 흐르는 빗물은 내가 책임져야죠.,2021.04.09-2021.04.30,"500,000원"
2,디자인소품,나 지금 위로가 필요한가 봄. 활판인쇄로 전하는 위로의 엽서집 55p,책과인쇄박물관,28%,"280,000원",12일 남음,17,23,"책과인쇄박물관이 안부를 전합니다. 어쩌면 진부하지만, 어쩌면 우리에게 가장 필요한 것은 위로와 희망, 손의 온기, 종이냄새, 잉크 자국과 같은 따스함 아닐까요?",2021.04.27-2021.05.11,"1,000,000원"
3,디자인소품,"[앵콜]당신의 감각을 보여줄, 업무효율 수직상승템 | 리즈 맥이지 시즌2",아이티에스글로벌,556%,"5,565,800원",25일 남음,99,84,정리 끝판왕 리즈 맥이지가 시즌2로 새롭게 돌아왔습니다! 마그네틱 모듈형 다이어리&보드와 함께 나만의 방식으로 내 공간을 정리하고 꾸며보세요!,2021.04.22-2021.05.24,"1,000,000원"
4,디자인소품,디자이너 의 비밀 문구! 쉬운 스케칭을 위한 황금비 스케칭 툴ㅣ파이룰러,제이엔케이 (JNK),440%,"4,409,000원",11일 남음,102,118,"해외 크라우드 펀딩에서 약 2,200 명의 디자이너의 마음 사로잡다! 전문가는 쉽고 빠르게 스케치/디자인 작업할 수 있고,  아마추어에게는 전문가와 같은 스케치 능력을 선사합니다!",2021.04.09-2021.05.10,"1,000,000원"
5,디자인소품,[인생템] 업무 효율 끝판왕! 하루 한 장 리스토!,리치오브타임 (박현진),206%,"1,034,800원",21일 남음,30,52,리스토는 '생각정리 도구'입니다. 복잡한 세상을 이기는 단순함의 힘!! 일과 생활을 '질서정연'하게 만들어 줍니다.,2021.04.19-2021.05.20,"500,000원"
6,디자인소품,"이탈리아 천연가죽&메탈 I 명품 차량용 포토 디퓨저, MONETA",ENEFFE(어니페),80%,"806,800원",18일 남음,12,19,"일반적인 차량용방향제, 지겹지 않으신가요? 볼수록 기분이 좋아지는 차량용 방향제.",2021.04.19-2021.05.17,"1,000,000원"
7,디자인소품,[시들지않는 실크플라워 부케] 당신의 특별한 날을 위해 준비했어요,문설희 (문설희),54%,"438,000원",8일 남음,17,15,"웨딩촬영, 브랄이덜샤워, 지인들과의 파티 등 빛나는 당신의날을 더 빛나게 해줄 생화같은 실크플라워 조화다발입니다. 시들지않는 조화이기에 촬영 후 인테리어 소품으로도 활용가능합니다.",2021.04.22-2021.05.07,"800,000원"
8,디자인소품,[DIY 어버이날] 수제 감사장과 내가 만든 플라워박스를 선물해보세요.,하지영 (하지영),19%,"95,000원",오늘 자정 마감,3,15,"플로리스트와 제품디자이너가 만나, [DIY 어버이날 플라워박스] ' 수제 감사장과 시들지않는 꽃으로 마음을 표현하세요. ' 를 합리적인 구성과 가격으로 협업제작 하게 되었습니다.",2021.04.19-2021.04.29,"500,000원"
9,디자인소품,핸드메이드 원목 주차번호판,티티공방,9%,"180,000원",25일 남음,7,13,handmade 제작된 원목 주차번호판입니다.,2021.04.19-2021.05.24,"2,000,000원"
10,디자인소품,진짜 목표를 언제든지 실천하세요!! 다이어리형 플래너 RECOGNIZER,김정규 (김정규),4%,"145,600원",13일 남음,8,20,[날짜에 상관없는] 일년 내내 상시 사용 가능한 다이어리형 플래너,2021.04.06-2021.05.12,"3,000,000원"
11,디자인소품,쉽게 시작하는 3D 영상 #C4D #AfterEffect #단축키패드,이혜정 (이혜정),4%,"80,000원",4일 남음,9,29,………………3D와 영상을 배우는 사람들을 위한 치트키 끝판왕!………………Cinema 4D & After Effects 단축키 장패드,2021.04.08-2021.05.03,"2,000,000원"
12,디자인소품,나만의 커스텀 메이드! 레터링 테비 베어 ,제이엔에스코리아,0%,0원,8일 남음,0,15,첫탄생 그때 기억을  간직하는 나만의 테디베어 입니다.,2021.04.21-2021.05.07,"500,000원"
13,디자인소품,[어버이날]반전용돈 꽃풍선이 된 카네이션으로 변치않는 사랑을 선물하세요!,스타드림컴퍼니,206%,"1,033,000원",펀딩성공,22,18,"부모님의 감사함을 오래도록 간직하기 위한 카네이션 꽃다발, 풍선, 레터링, 반전용돈, 무드등이 만났습니다. 어버이날엔 풍선이 된 특별한 카네이션으로 영원한 사랑과 감사를 전해보세요",2021.04.20-2021.04.28,"500,000원"
14,디자인소품,"가격마저 놀랍다! 디자이너 캐리어 & 백팩, 샤플 Dr.Nah",샤플,30332%,"1,516,637,609원",펀딩성공,"22,492",3147,"멋진 디자인과 좋은 품질, 놀라운 가격까지 어떻게 가능할까요? 이제 당신이 놀랄 차례입니다.",2017.06.20-2017.07.19,"5,000,000원"
15,디자인소품,"[앵콜] 1억 펀딩의 신화, 세종 여권케이스 & 네임택",(주)업드림코리아,21932%,"219,320,110원",펀딩성공,"3,127",1369,작년 1차 펀딩에서 1억 이상의 신화를 기록했던 다이노 X 업드림코리아의 세종 여권케이스 & 네임택이 더욱 업그레이드 되어 돌아왔습니다.,2018.04.05-2018.05.01,"1,000,000원"
16,디자인소품,"[3억 앵콜] 가장 아름다운 한국을 디자인하다, 세종여권케이스",(주)업드림코리아,20012%,"200,129,401원",펀딩성공,"3,352",1431,"크라우드펀딩을 통해 3억 이상을 기록했던 화제의 여권케이스, 더욱 업그레이드 되어 블랙에디션과 함께 돌아왔습니다. 세계 속에 한국을 알리는 <세종 여권케이스>입니다.",2018.11.19-2018.12.12,"1,000,000원"
17,디자인소품,"여행에 한국을 입히다, 다이노 여권케이스 & 네임택",(주)업드림코리아,11746%,"117,464,500원",펀딩성공,"1,771",670,가장 한국다운 여권케이스를 만들기 위해 여행을 사랑하는 디자이너와 대표가 만났습니다. 두 사람이 만든 가장 한국다운 여권케이스&네임택을 여러분께 지금 소개합니다.,2017.12.14-2017.12.31,"1,000,000원"
18,디자인소품,[도전! 하루2리터] 하루 수분 섭취를 시간별로 달성하는 2L물병,폴싯,9778%,"48,894,200원",펀딩성공,"1,228",871,플레스 시간 표시 물병은 스티커를 활용하여 물 마시는 습관을 만드는 대용량 물병입니다.,2020.08.26-2020.09.16,"500,000원"
19,디자인소품,[4차앵콜]휴대용 안경닦이 포켓클리너! 어디에서나 가볍고 심플하게,스윗아이디어스,9233%,"46,169,100원",펀딩성공,"1,761",1110,추운 겨울 김서림방지 안경닦이는 필수! 초극세사로 만들어져 먼지를 말끔히! 주머니에 쏙 들어가는 사이즈로 들고 다니기 편한 스윗포켓클리너가 앵콜로 돌아왔습니다! :^),2019.12.11-2020.01.05,"500,000원"
20,디자인소품,크고 가벼운 안경 : 휴즈(Huge),스테디에이치디(SteadyHD),9144%,"91,443,000원",펀딩성공,"1,152",607,안경 '휴즈'는 크고 가벼운 안경입니다.,2018.05.03-2018.06.06,"1,000,000원"
21,디자인소품,[6426% 앵콜] 평점4.7만족 서명 디자인 제작(전문디자이너 작업),최귀성 (최귀성),7695%,"38,476,000원",펀딩성공,533,569,[6426% 펀딩 4.7평점] [앵콜펀딩]전문 사인디자이너가  나만의 멋진 사인을 디자인하여 드립니다.,2020.06.10-2020.07.10,"500,000원"
22,디자인소품,[5억앵콜] 세종여권케이스 100% 프리미엄 가죽 수량한정 리워드,(주)업드림코리아,7347%,"36,737,500원",펀딩성공,434,374,와디즈 리워드펀딩 디자인소품 1위~ 5억 펀딩의 세종여권케이스가 앵콜요청에 실제 가죽으로 업드레이드 되었습니다. 프리미엄으로 더욱 고급스러워진 리워드 구성을 지금 확인하세요 :),2019.08.21-2019.09.22,"500,000원"
23,디자인소품,[2021 갱생 프로젝트] 프로계획러들에게 전하는 이형의 시간관리 플래너,주식회사엔알디3,7197%,"71,974,840원",펀딩성공,"1,810",1009,"""내가 플래너를 꾸준히 못 쓴건 게을러서가 아니야."" 타임트래커로 시간을 추적해보세요. 2021년도는 정말 다른 한해가 될거에요.",2020.11.21-2020.12.07,"1,000,000원"
24,디자인소품,나만의 서명디자인을 만들어 드립니다. ,싸인 디자인 (최귀성),6426%,"32,131,000원",펀딩성공,511,603,평생 사용하게 될 나만의 멋진 싸인을 전문싸인디자이너가 직접 디자인하여 드립니다.,2020.02.28-2020.03.28,"500,000원"
25,디자인소품,"내 손안의 작은 도자기,고려청자케이스",미미디자인,6288%,"31,440,000원",펀딩성공,942,533,[3.4억신화]나만의 이름이 새겨진 세상에 하나뿐인  [고려청자 무선이어폰&핸드폰 케이스],2020.05.24-2020.06.08,"500,000원"
26,디자인소품,[7695% 2차앵콜]평점 5점만점 서명디자인 제작(전문디자이너 작업),굿사인,6221%,"31,105,000원",펀딩성공,476,432,"[7695% 펀딩 평점5점 만점]누적 7천만원 [2차앵콜펀딩] 전문 서명디자이너가 맞춤형 멋진 서명을 디자인 작업. 15년간 유명연예인, 운동선수등 다수의 사인을 디자인작업.",2020.10.20-2020.11.23,"500,000원"
27,디자인소품,"1만원대로 누리는 고급 힐링 | 순수 나무 인센스, 집에서 자연을 만나다",일레븐일레븐,6009%,"60,098,300원",펀딩성공,"1,779",1267,스트레스를 순삭하는 마음 진정제를 처방합니다. 해로운 착향제가 첨가되지 않은 순수 우드 파우더 백플로우 인센스콘 4종과 마음 차분 백플로우 버너 9종 세트.,2020.08.25-2020.09.14,"1,000,000원"
28,디자인소품,크고 가벼운 안경 : 휴즈(Huge) - 2차,스테디에이치디,5592%,"55,920,000원",펀딩성공,742,364,안경 '휴즈'는 크고 가벼운 안경입니다.,2018.07.12-2018.08.13,"1,000,000원"
29,디자인소품,섬유팁 펜을 아시나요? 말도 안되는 저세상 필기감. 이것은 혁명이다!  ,위미코퍼레이션,5394%,"53,943,200원",펀딩성공,831,858,"자꾸만 써보고 싶고, 뭐라고 낙서라도 하고 싶게 만드는 마성의 중독성. 경험해보지 못한 이 미친 필기감. 우아하고 격조있는 당신의 지성을 빛내줄 럭셔리한 디자인의 펠트팁 펜!",2020.04.28-2020.05.18,"1,000,000원"
30,디자인소품,예쁘기만 한 줄 알았더니 '공기정화+악취제거' 만능이네? [큐어스톤],퓨어네코(PURENECO),5108%,"51,082,000원",펀딩성공,"1,884",874,"냉장고 냄새, 화장실 지린내, 다 아는 차 안 냄새. 깨끗한 공기가 필요한 곳에 <큐어스톤>으로 꾸며 보세요. 생활 속 악취를 싹 잡는 똑똑하고 예쁜 <큐어스톤>",2019.05.24-2019.06.24,"1,000,000원"
31,디자인소품,"[5108% 앵콜] 큐어스톤, 모든공간 인테리어+악취제거를 한번에 해결!",퓨어네코(PURENECO),4847%,"48,476,000원",펀딩성공,"1,608",689,"냉장고 냄새, 화장실 지린내, 다 아는 차 안 냄새. 깨끗한 공기가 필요한 곳에 <큐어스톤>으로 꾸며 보세요. 생활 속 악취를 싹 잡는 똑똑하고 예쁜 <큐어스톤>",2019.09.11-2019.10.13,"1,000,000원"
32,디자인소품,"나를 진정한 프로답게 만드는 도구, 컨트롤 프로",(주)헤른후트,4693%,"23,465,500원",펀딩성공,601,668,이것을 펼치는 순간! 모두가 놀라운 눈으로 당신을 보게됩니다.,2020.03.20-2020.04.19,"500,000원"
33,디자인소품,[5.6억 펀딩신화] 쌍학여권케이스의 비상이 시작됩니다.,다이노코리아,4528%,"22,640,500원",펀딩성공,588,256,세종여권케이스를 런칭한 다이노코리아가 한국조폐공사와 함께 새로운 도전을 시작합니다.,2019.12.27-2020.01.09,"500,000원"
34,디자인소품,"효도폰은 있는데, 효도케이스는 왜 없나요? [파밀리아 핸드폰케이스]",familia (파밀리아),4469%,"22,345,300원",펀딩성공,418,528,"내 것만 챙겨주느라 정작 본인은 못챙기는 우리 엄마를 위한 프로젝트. 엄마의 낡은 핸드폰케이스, 이제 우리가 바꿔드릴 차례입니다.",2019.09.24-2019.10.20,"500,000원"
35,디자인소품,"[설선물] 소장하고 싶은 우리 민화 화투, 투화2020",TUHWA (노경선),4393%,"21,966,500원",펀딩성공,712,333,서포터님들의 의견을 수렴하여 새롭게 선보이는,2020.01.03-2020.01.12,"500,000원"
36,디자인소품,"[4.8점 앵콜] 섬잔 : 독도와 울릉도, 한국의 섬을 담다",도화,4298%,"21,491,500원",펀딩성공,321,326,"한국의 아름다운 섬, 술, 글 우리나라의 아름다운 문화입니다. 이 가치를 알리고자 프리미엄 술잔인 섬잔을 기획하였습니다.",2020.10.01-2020.11.06,"500,000원"
37,디자인소품,AA 팔성화로 - 불멍으로 당신을 힐링시켜드립니다.,클래식프롬,4115%,"20,577,000원",펀딩성공,224,395,8개의 별이 모여 하나의 불이 완성되는 컨셉을 가진 '화로'입니다.,2020.12.16-2021.01.04,"500,000원"
38,디자인소품,뻔한 수납가구 말고 펀(FUN)한 타공박스 어떠세요?,홀로(holo),4107%,"41,070,446원",펀딩성공,409,777,하나의 모듈 & 15종의 악세서리로 기존가구의 한계를 뛰어넘는 홀로 타공박스! 당신의 상상을 커스터마이징 하세요!,2020.01.06-2020.02.03,"1,000,000원"
39,디자인소품,[누적1억펀딩]3차앵콜 평점4.9 서명디자인 제작(전문디자이너가 제작) ,굿사인,3790%,"18,950,000원",펀딩성공,307,311,[누적 1억 펀딩달성 평균평점 4.9점][3차앵콜펀딩] 전문 서명디자이너가 맞춤형 멋진 서명을 디자인작업. 16년간 유명연예인 운동선수등 다수의 사인을 디자인작업,2021.02.13-2021.03.15,"500,000원"
40,디자인소품,달 탐사 50주년ㅣ아폴로 11호의 프론티어 정신을 기념하는 한정판 만년필,줄리아노 마주올리(로열박스 인터내셔널),3740%,"37,402,000원",펀딩성공,253,168,"단언컨데 가장 품격 있는 필기구, 만년필. 여기에 닐 암스트롱이 내딛었던 인류 최초의 '첫 걸음'의 의미를 담았습니다. 아폴로 11호의 달 탐사 50주년을 기념하는 한정판 만년필.",2019.11.25-2019.12.15,"1,000,000원"
41,디자인소품,<9천명펀딩> 티타늄 칼! 매일 다양한 순간에 편하고 유용하게 사용하세요,SplinterSeed,3637%,"18,185,500원",펀딩성공,388,480,매일 가지고 다니며 '언제 어디서나' 사용할 수 있는 티타늄 칼!,2019.12.23-2019.12.29,"500,000원"
42,디자인소품,[마인어스 무브먼트] 작가 OOO님의 한정판 캐릭터 털털이를 만나보세요!,주식회사 채널에이,3465%,"17,325,835원",펀딩성공,514,137,픽셀 만화를 그리는 ooo작가와 티셔츠 프로젝트를 진행하는 비토우가 '마인어스 무브먼트' 캠페인을 알리기 위해 새로운 캐릭터를 만들었습니다.,2020.08.04-2020.08.25,"500,000원"
43,디자인소품,[레드닷 수상] 일상을 바꾸는 디자인! 모듈형 다이어리&보드 LHiDS,아이티에스글로벌,3404%,"34,046,500원",펀딩성공,570,617,[세상에 없던 단 하나의 모듈형 다이어리& 모듈형 보드] 마그네틱 모듈을 사용해서 내가 원하는 물건을 원하는 방식으로! 나만의 사무공간을 꾸며보세요.,2020.05.08-2020.06.08,"1,000,000원"
44,디자인소품,호버펜 : 영원히 서 있는 무중력 볼펜,HOVERPEN,3374%,"33,746,000원",펀딩성공,275,527,40년 경력의 대만 볼펜 제작 장인이 개발한 쓰러지지 않는 볼펜 호버펜(HOVERPEN),2019.03.29-2019.04.21,"1,000,000원"
45,디자인소품,"[소소문구] 우리가 찾던 6공 다이어리, 하프 다이어리 시즌 II",소소문구,3203%,"32,033,000원",펀딩성공,"1,165",727,"위,아래 나뉘어져있고 내지 교체가 가능한 하프 다이어리 시즌II입니다. 개인의 성향에 따라 다이어리를 마음껏 편집하여 사용할 수 있습니다.",2019.09.30-2019.10.20,"1,000,000원"
46,디자인소품,"LAMY X WADIZ | 국민 만년필 라미, 와디즈와 만나다! ",(주)GIST,3179%,"31,791,000원",펀딩성공,946,359,"매끈한 디자인, 기분 좋은 필기감, 착한 가격. 어디에도 없을 국민 만년필",2017.06.09-2017.07.09,"1,000,000원"
47,디자인소품,"내 손을 자유롭게! 선풍기, 선글라스, 이어폰 싹 다 걸어! 만능클립",MADD(메디),3173%,"15,868,000원",펀딩성공,507,317,이런건 본 적 없을걸? 백팩을 위한 신개념 액세서리.,2020.07.29-2020.08.24,"500,000원"
