,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,반려동물,[노즈워크 유목민 그만!] 빠져나올 수 없는 1만원대 견생템 #다이스랜드,주식회사 아이케이제이,1438%,"7,191,900원",11일 남음,114,41,노즈워크 유목민은 여기모여라! #다이스랜드는 다양한 활용법으로 아이들의 활동량을 채워줄 수 있는 신개념 천 노즈워크볼이에요,2021.04.27-2021.05.10,"500,000원"
1,반려동물,<구름베개> 수면말고 '숙면' 댕냥이의 올바른 수면을 위한 #멍필로우,(주)럼플,1250%,"6,252,000원",11일 남음,168,99,댕냥이 숙면 보장 프로젝트,2021.04.23-2021.05.10,"500,000원"
2,반려동물,떠나자! 어디든 너와함께 #겟츠미니 반려동물 유모차 by #루루앤미미,루루앤미미,1229%,"12,295,000원",오늘 자정 마감,43,51,"작아도 스타일은 못잃지. 어디든 너와함께 할 수있는 #루루앤미미 펫모차, #겟츠미니 !",2021.04.20-2021.04.29,"1,000,000원"
3,반려동물,[7천만원 앵콜] 양치질 혁명! 아이들이 좋아하는 '마약치약',주식회사 라이트형제,738%,"3,691,000원",8일 남음,117,100,"간식보다 즐겁고, 치약보다 효과 좋은 '애니멀랩 덴탈찌-약'!",2021.04.02-2021.05.07,"500,000원"
4,반려동물,나의 사랑스러운 반려묘도 튼튼치아 - 오늘부터  <건치냥>,젠트러스,408%,"2,040,400원",5일 남음,33,27,구강관리만 해도 반려동물 평균 수명이 20%가 증가한다!?,2021.04.26-2021.05.04,"500,000원"
5,반려동물,1만원 대로 반려동물 드라이 스트레스 끝! 슈펫 펫 스타일러,마커스랩 주식회사,258%,"2,571,800원",5일 남음,126,58,1만원대의 고기능 아웃도어 원단으로 만든 슈펫 펫 스타일러!,2021.04.20-2021.05.04,"995,000원"
6,반려동물,[캔루 원터치 자석 A형 하네스]자석이 착~!산책이 쉬워진다!,주식회사 썸머홀릭,123%,"618,000원",15일 남음,14,19,자석이 착~!산책이 쉬워진다~!!,2021.04.23-2021.05.14,"500,000원"
7,반려동물,중대형견을 위한 국내제작 환경 친화적 가죽입마개,함영민 (함영민),211%,"1,057,200원",4일 남음,39,23,국내제작 환경 친화적 인조가죽으로 만든 가죽입마개를 처음으로 선보입니다. 우리 반려견을 위해 이쁘고 안전한 입마개 준비하세요!,2021.04.19-2021.05.03,"500,000원"
8,반려동물,<냥이 목욕이 힘든 집사님 주목> 뿌리면 끝! 제주서 온 순수 수분세정제,오래오랩,954%,"4,770,000원",4일 남음,83,63,반려동물 라이프스타일의 새로운 패러다임!,2021.04.15-2021.05.03,"500,000원"
9,반려동물,[2차앵콜] 캣타워를 이가격에? 냥이 뷰맛집 인테리어 창문형 철제 캣타워,라이프어스,736%,"3,681,700원",11일 남음,41,78,방묘문 브랜드 세이펫 창문형 철제 캣타워! 공간 차지 NO! 견고하고 튼튼한 캣타워!,2021.04.22-2021.05.10,"500,000원"
10,반려동물,이건 못참지! 반려동물 힘들게 안고다니지 마세요! 레투 펫넬 이동 캐리어,주식회사 레투코리아,1080%,"10,808,000원",11일 남음,109,205,반려인과 반려동물 모두가 편하게 사용 할 수 있는 레투 펫넬 애견 캐리어!,2021.04.07-2021.05.10,"1,000,000원"
11,반려동물,리드줄 하나로 산책의 격을 바꾸다. 다리에 안 꼬이는 리드줄! <앙꼬줄>,박만석 (박만석),783%,"3,917,500원",4일 남음,79,63,"산책할 때 리드줄 꼬여, 안꼬여 < 안 꼬이는 리드줄 앙꼬줄 >",2021.04.12-2021.05.03,"500,000원"
12,반려동물,올 여름 대형견도 개발 뻗고 눕자! 대형 대리석 쿨매트 하나로 시원하개!,히스핸드,537%,"2,687,000원",14일 남음,17,30,대형견도 편안한 사이즈의 대리석 쿨매트로 반려동물의 여름을 시원하개!,2021.04.15-2021.05.13,"500,000원"
13,반려동물,펫하우스와 무드등이 한제품에 쏙!반려동물과 반려인 모두를 위한 루나하우스,주식회사 한꼬,334%,"3,340,500원",25일 남음,35,29,펫하우스와 인테리어 무드등이 한제품에 쏙! 반려동물과 반려인 모두에게 유용한 감성 무드등 펫하우스.,2021.04.26-2021.05.24,"1,000,000원"
14,반려동물,"동물중심적인 생각, 반려식탁의 소고기 화식",반려식탁,89%,"449,000원",1일 남음,10,10,사람이 관리하기 쉽도록 개발된 건사료에 길들여진 반려견들에게 자연식을 돌려 주고자 본 리워드를 개발하게 되었습니다.,2021.04.09-2021.04.30,"500,000원"
15,반려동물,"고양이를 위한 모든 공간, 이 안에 다 있다! All In One 썸큐브",(주)블루밍애드,410%,"2,053,400원",1일 남음,7,38,"그저 깔끔하기만 한 원목 가구들, 가끔은 밋밋하게 느껴지지 않으신가요?",2021.03.31-2021.04.30,"500,000원"
16,반려동물,""" 조선 집사 실록 "" [ # 금손모래 ]",제이텍,308%,"3,085,000원",1일 남음,28,23,"애묘인 역사를 따라가는 "" 먼지 없는 국내 제조 벤토나이트 금 손 모 래 !  "" ฅ ̳͒•ˑ̫• ̳͒ฅ♡",2021.03.23-2021.04.30,"1,000,000원"
17,반려동물,"반려동물 사료를 유산균(프로바이오틱스)화 시켜주는 사료발효제 ""펫테비아""",(주)케이앤엘,300%,"1,500,300원",1일 남음,26,20,펫테비아는 우리 아이들이 직접 먹는 사료가 아닌,2021.04.07-2021.04.30,"500,000원"
18,반려동물,캣초딩부터 노묘까지 평생! 5가지 스타일로 변신하는 <각도조절 캣타워> ,컨셉502(주),332%,"1,664,000원",11일 남음,13,28,내 고양이의 어린시절부터 노묘시절까지,2021.04.23-2021.05.10,"500,000원"
19,반려동물,[반려동물도 간 케어가 필요해!] 수의사가 만든 간 건강간식&셀프검진키트,주식회사 위드펫바이오,221%,"2,219,900원",8일 남음,38,37,"하루 한 포, 간식처럼 쭉 짜먹이면 끝! 수의사가 만든 반려동물 메디푸드 <간튼튼>으로 우리 아이 간 건강을 지켜주세요!",2021.04.07-2021.05.07,"1,000,000원"
20,반려동물,콜라겐 영양간식 코코츄,코리아콜라겐 주식회사,33%,"167,500원",4일 남음,6,5,왈왈! 왈왈왈! 주상께서 간식 드실 시간입니다.,2021.04.25-2021.05.03,"500,000원"
21,반려동물,3 in 1 프리미엄 원목 휴대겸용 식기,본시스템,16%,"82,000원",,5,7,"언제 어디를 가더라도 / 같은 사료,물 한그릇 이라도 / 고급스럽고 품위있게 먹고 싶다.   이제 간편하고 자신있게 꺼내세요.  < 3 in 1 프리미엄 원목 휴대겸용 식기 >",2021.03.29-2021.04.28,"500,000원"
22,반려동물,한국 댕냥이들은 밥심!! 우리아이는 무슨 덮밥??<밥그릇 하우스>,HORIZON&CO,11%,"2,024,000원",18일 남음,36,24,우리 아이가 편히 쉬는 모습을 더 귀엽게 해주는 '밥그릇 하우스' 제작을 위한 펀딩 프로젝트입니다.,2021.04.20-2021.05.17,"18,000,000원"
23,반려동물,반려견 필수 데이터! 반려견 전자명함 펜던트!,(주)제이네트워크,5%,"52,000원",32일 남음,2,11,"가족같은 반려동물을 잃어버린 기억이 있으신가요? 고민을 거듭한 끝에 반려견의 필수 데이터, 반려동물 전자명함 QR코드 펜던트 개발. 비상용으로 하나 딱! 친구자랑용으로 하나 딱!",2021.04.22-2021.05.31,"1,000,000원"
24,반려동물,고고마스크 댕댕마스크,J-SOL (제이솔),0%,0원,1일 남음,10,15,반려동물과의 즐거운 산책 .,2021.03.01-2021.04.30,"500,000원"
25,반려동물,[ 로얄테일즈 반려차 ] 7가지 기능이 가능한 올인원 반려동물 유모차,로얄테일즈,26047%,"130,239,000원",펀딩성공,502,647,"당신이 가는 곳 어디든, 앨리스와 함께!",2019.07.08-2019.07.28,"500,000원"
26,반려동물,[미국 특허] 지독한 댕냥이 입냄새! 간편하게 관리할 순 없을까?,쿼럼바이오(주),24199%,"120,995,000원",펀딩성공,"3,018",1354,"뿌려지는 순간, 양치스트레스 Down! 구강건강 Up! 입냄새, 치태를 한번에 관리 해보세요. 맛있고 즐거운 습관 [QSI 갈락토90펫]",2019.05.07-2019.06.18,"500,000원"
27,반려동물,[1.9억앵콜]더 가볍게 돌아왔다! #자동 화장실 캣링크,주식회사 위드유어펫,20454%,"204,541,300원",펀딩성공,683,316,때로는 단순한게 더 좋지요. 더 가볍게 돌아왔다! 갓성비 자동 고양이 화장실 캣링크 영(Young)!,2021.03.09-2021.03.22,"1,000,000원"
28,반려동물,[입소문으로 증명된]닥터레이가 만든 3번째 영양제 - 관절 튼튼 바나퀸,닥터레이,17381%,"173,816,300원",펀딩성공,"1,423",457,까다로운 엄마의 현명한 선택,2020.03.17-2020.03.30,"1,000,000원"
29,반려동물,마이베프 신제품! 국산 무항생제 생유와 크랜베리 펫밀크 생유베리마치!,주식회사 아이비알,14431%,"72,155,700원",펀딩성공,559,229,"마이베프가 1년만의 신제품으로 찾아왔어요! 국산 무항생제 생유와 크랜베리의 만남! 아이들의 음수량을 위한 마이베프의 신제품, 반려동물 전용 우유 생유베리마치 입니다!",2020.12.18-2021.01.04,"500,000원"
