,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
0,테크·가전,[앵콜]신발냄새 잡는 끝판왕! 신발관리의 혁명 홈세라신발청정기U,주식회사 홈세라,849%,"8,496,400원",11일 남음,239,182,[가성비 끝판왕 1만원대] 신발 관리의 혁명! 신발도 청정하는 시대! 홈세라 신발살균청정기U S100으로 살균&탈취&건조까지 한번에 해결~청정해진 내 신발 뽀송뽀송 쿠션감UP!,2021.04.14-2021.05.10,"1,000,000원"
1,테크·가전,손가락 하나로 디지털 기기를 컨트롤! 진짜 만능 블루투스 마우스&리모컨,주식회사 블루티움,5030%,"25,153,500원",25일 남음,440,120,"전자책, 웹툰, 인강, 마우스, 영상촬영이  하나의 리모컨으로 다 된다고? 더욱 스마트해지고, 더욱 패셔너블하게 돌아왔다, 스마트 무선 터치 리모컨 릿제로의 두번째 버전,릿제로 X",2021.04.28-2021.05.24,"500,000원"
2,테크·가전,핑구X듀얼충전 마우스패드를 2만원대로! [핑구's Back2],케이티씨에스,1060%,"10,601,000원",18일 남음,322,79,전자기기 2개쯤은 기본이잖아요. 1+1 동시충전과 더불어 마우스 패드가 만났습니다. 1433%달성의 핑구와 함께 2만원대로 스마트한 라이프를 느껴보세요,2021.04.28-2021.05.17,"1,000,000원"
3,테크·가전,[얼룩제거히어로!2차앵콜]언제나!물만있으면OK무선초음파세척스틱!웨이블린!,주식회사 엘파인,3620%,"36,207,000원",18일 남음,633,293,"1주일 적어도 30회이상 얼룩빌런에 노출되는 일상-일터,집,식사시간,저녁약속,커피타임,캠핑,차박,여행지등",2021.04.27-2021.05.17,"1,000,000원"
4,테크·가전,[유인+흡입+감전] 자비없는 3콤보 해충사냥꾼 듀얼 해충퇴치기 등장!,동양라인,6769%,"135,396,700원",15일 남음,"2,657",1047,올 여름 필수템! 모기에게 물리지 않는 법은 물리기 전에 잡는 겁니다!,2021.04.23-2021.05.14,"2,000,000원"
5,테크·가전,[5억 앵콜]땀쟁이는 미리 준비해! 가볍게 돌아온 <넥밴드 선풍기 에어>,프린텍 주식회사,6267%,"62,671,700원",11일 남음,"1,082",490,"무게는 가볍게, 목에 닿는 넥스트랩은 얇게!",2021.04.22-2021.05.10,"1,000,000원"
6,테크·가전,[아마존 매출 10억] 글로벌이 인정한 스마트기기 케이스 ,(주)아이스픽,10522%,"52,611,480원",4일 남음,"1,941",950,"아직도 지갑을 들고 다니세요?! 전세계가 인정한 카드수납형 케이스의 끝판왕, 베루스 케이스와 자연으로부터 얻은 소재, 천연돌가루의 환상적 콜라보!",2021.04.16-2021.05.03,"500,000원"
7,테크·가전,[4.7점 앵콜] 서포터가 인정한 차량용 클리어 무선충전거치대 핸디그랩!,주식회사 핸디핸드,1030%,"10,307,100원",25일 남음,344,122,"리워드 만족도 4.7점 , 메이커 만족도 4.8점!",2021.04.27-2021.05.24,"1,000,000원"
8,테크·가전,[글로벌 64억 펀딩] 필터 교체가 필요없는 신개념 공기청정기 포이마핏!,비키스임포트앤엑스포트(영업소) ,8205%,"410,287,000원",11일 남음,"1,382",1103,대만 Flying V 펀딩액 64억 달성!,2021.04.15-2021.05.10,"5,000,000원"
9,테크·가전,[4.5앵콜] 포켓드럼? 비트에 몸을 맡겨라! 방구석에서 제대로 즐기자!,블루썸(bluessom),3564%,"35,643,000원",25일 남음,204,132,"포켓드럼2와 함께 소음 걱정 없이 집에서 자유롭게 드럼치자! 간단하게 전원버튼 누르고 앱과 연동만하면 드럼 칠 준비는 끝! 애플뮤직과 완벽 연동! 재미는 기본, 운동 효과까지!",2021.04.27-2021.05.24,"1,000,000원"
10,테크·가전,답답한 마스크를 벗고 공기청정기를 쓰다 | 웨어러블 공기청정기,(주)휴라인텍,9498%,"94,985,500원",4일 남음,631,650,나만의 프라이빗 공기청정 시스템 : 웨어러블 공기청정기 브레온!,2021.04.17-2021.05.03,"1,000,000원"
11,테크·가전,[글로벌 15억 펀딩] 아직도 줄자 쓰세요? 맥파이 양방향 레이저 줄자!,(주)맥파이테크,9469%,"94,696,500원",25일 남음,788,311,글로벌 15억 펀딩 신화! 양방향 레이저 줄자 VH-80이 Special Edition으로 돌아왔다!,2021.04.25-2021.05.24,"1,000,000원"
12,테크·가전,전기없이 착용만으로 발열이 된다고? EMS 기능까지! [HEATNESS],주식회사천산,2070%,"10,350,300원",18일 남음,78,65,"그저 좋은 줄만 알았던 원적외선, 하지만 사용법이 불편했다면? 원하는 부위에 설정도 버튼도 필요 없이 착용만으로 발열 시작! [HEATNESS]",2021.04.27-2021.05.17,"500,000원"
13,테크·가전,[앵콜] 초음파세척+UV살균으로 뽀득뽀득 개운하게! <스마클린UV>,(주)아우젠글로벌커머스,1096%,"10,965,000원",18일 남음,178,108,"가정용 초음파 세척기로 많은 사랑 받았던 그 제품, UV살균 기능까지 더해 업그레이드 되어 돌아왔습니다! ""스마클린UV""를 앵콜 펀딩으로 만나보세요.",2021.04.26-2021.05.17,"1,000,000원"
14,테크·가전,[시선강탈 넥밴드선풍기] 블루필이 돌아왔다 더 슬림하게 더 오래가는 엣씨,블루필 주식회사,1767%,"17,675,400원",펀딩성공,459,241,"선풍기 누적 50만개, Accelerated by SAMSUNG의 독보적인 기술력으로",2021.04.21-2021.04.28,"1,000,000원"
15,테크·가전,캠핑필수 선풍기 진짜 차박러가 캠핑용선풍기에 도전하다?! 엠팬 ,(주)비메이커,4939%,"24,697,800원",18일 남음,577,190,"차박러가 고민해본 캠핑용선풍기 엠팬. 자유로운 방향조절과 클립형구조. 배터리교체 방식으로 더 긴수명. 보조배터리와 LED랜턴, 그리고 5엽설계의 강력한 직진성과 정숙성까지",2021.04.22-2021.05.17,"500,000원"
16,테크·가전,[홈트의 완성] 거실에서 매일 5분 줄넘기! 스마트로프 루키+도넛,주식회사 탱그램팩토리,318%,"15,900,400원",11일 남음,438,204,"""내 줄넘기 기록, 우리 집 TV는 알고 있다!"" 스마트폰과 스마트 TV에 횟수/시간/칼로리를 기록하는 똑똑한 줄넘기, '스마트로프 루키+도넛' 업그레이드 런칭!",2021.04.22-2021.05.10,"5,000,000원"
17,테크·가전,평점5점 마지막앵콜]  블렌딩+채/편썰기까지 가능한 닌자 올인원블렌더!,주식회사 마이하우스,1528%,"15,283,000원",5일 남음,79,57,"이젠, 배달시키지도 말고, 힘들게 준비하여 요리하지도 않고, 블렌딩/다지기 모두 간.단.하.게 ""닌자"" 하세요",2021.04.27-2021.05.04,"1,000,000원"
18,테크·가전,아이패드를 위한 혁신적인 360도 회전 스마트 키보드 | DOQO2,주식회사 세토웍스,5151%,"51,515,000원",18일 남음,311,385,"블루투스로 간편한 연결, 알루미늄 디자인, 편의성, 내구성, 거기에 360도 회전까지, iPad를 위한 혁신적인 키보드를 만나보세요!",2021.04.24-2021.05.17,"1,000,000원"
19,테크·가전,[앵콜] 폰부터 노트북까지 고속충전! PD+PPS+QC+유니버설 파워베슬,펀디안(주),572%,"11,459,200원",18일 남음,173,122,"퀵스탠드의 남다른 편리함과 초슬림 디자인의 완벽조화~ GaN 업그레이드 파워베슬! 아이폰, 아이패드, 맥북, 스마트폰, 태블릿, 노트북을 위한 단 하나의 고속충전기를 만나보세요!",2021.04.27-2021.05.17,"2,000,000원"
20,테크·가전,[9299% 앵콜] 누르기만하면 술맛이 부드러워져요ㅣ술 에어레이터 끝판왕,주식회사 신정인터내셔날,3655%,"18,277,500원",11일 남음,221,255,"술 한잔 가득 마이크로 버블 에어레이팅 , 더 작고 더 가볍게 그리고 더 강력한 에어레이팅 성능으로 출시된 비네이라 트레블, 휴대용 케이스로 캠핑, 여행, 술자리 모두 OK!",2021.04.19-2021.05.10,"500,000원"
21,테크·가전,[5점 앵콜] 음향 장인 야마하의 10만원대 3D 서라운드 사운드바 ,주식회사 틱투엠(Tic2M),29520%,"295,208,000원",1일 남음,"1,586",1508,4K...8K...TV는 날로 좋아지는데 왜 아직도 사운드는 2D?! 만족도★5개 야마하 3D 서라운드 사운드바 SR-B20A 화이트 에디션으로 홈 시네마 시스템을 완성하세요!!,2021.03.27-2021.04.30,"1,000,000원"
22,테크·가전,[앵콜] 더욱 조용하고 슬림하게! 노이즈 캔슬링 헤드폰 Hesh ANC ,시에프디스트리뷰션 주식회사,1040%,"10,400,000원",18일 남음,86,41,더욱 조용한 하이브리드 노이즈 캔슬링 기술을 탑재한 헤드폰이 가볍고 슬림한 디자인까지 갖추었다면??,2021.04.27-2021.05.17,"1,000,000원"
23,테크·가전,내손안의 미니사이즈 풀파워! 지코 닥터락 미니 마사지건!,주식회사 시티파이브,2294%,"22,949,600원",4일 남음,260,151,미니사이즈 풀파워 마사지!,2021.04.17-2021.05.03,"1,000,000원"
24,테크·가전,LED가 땋! 존재감 터지는 디붐 픽수 슬링백,주식회사 아이스카이네트웍스,1892%,"28,394,000원",4일 남음,309,408,#LED 픽셀아트가 나오는 감각적인 슬링백,2021.04.05-2021.05.03,"1,500,000원"
25,테크·가전,[글로벌 15억] 무선충전과 수납을 동시에? 내손안의 데스크 '네스트',주식회사 문앤썬컴퍼니,1619%,"16,198,000원",18일 남음,175,126,수납공간 커스터마이징 파우치(무선 충전기 내장) '네스트'입니다.,2021.04.21-2021.05.17,"1,000,000원"
26,테크·가전,"""밤잠 설치는 분들을 위한 숙면 솔루션"" 꿀잠밴드 SLEEP i MASK",주식회사 리솔,1404%,"14,040,000원",18일 남음,87,86,"1,2,3만 기억하세요! 1일,2회,30분 사용으로 여러분은 오늘부터 숙면에 빠져듭니다!",2021.04.23-2021.05.17,"1,000,000원"
27,테크·가전,"위생에 진심인 당신에게, 내일의 깨끗한 물 한잔을 위한 개인컵 UV살균기",나인랩,3016%,"15,081,304원",18일 남음,214,131,"“불안한 시대를 살아가는 우리 모두의 일상을 지켜내는 살균 습관” 개인컵과 텀블러는 물론 마시는 물까지,",2021.04.16-2021.05.17,"500,000원"
28,테크·가전,"[10년 개발 거치대] 패드마운트 하나면, 침대 테블릿 거치대 고민 끝!",씨알존,829%,"8,298,000원",4일 남음,66,134,누워서 편하게 보자 !!,2021.04.18-2021.05.03,"1,000,000원"
29,테크·가전,[음쓰] 지긋지긋 음식물쓰레기 냄새+날파리 유지비가 '0'원인 쿨키퍼 ,주식회사 마이하우스,811%,"4,058,000원",4일 남음,37,75,냉동실에 음식물 쓰레기 넣으면 세균이 '49'배 증가된다는 사실 알고 있으신가요??,2021.04.21-2021.05.03,"500,000원"
30,테크·가전,듀얼 무선충전에 듀얼 공기청정을 더한~ 크루 휴대용 멀티 공기청정기!,중앙엠비즈 주식회사,41%,"2,050,000원",25일 남음,39,38,차량용품 전문가가 만든 미니멀 올인원 디바이스,2021.04.26-2021.05.24,"5,000,000원"
31,테크·가전,[5만원대 공간 살균기] 곰팡이?세균?바이러스? All케어 All클린!,썬웨이브,1120%,"5,601,000원",12일 남음,82,93,눈에 보이는 청소만 하고 있지 않으신가요? 복잡하고 번롭지않게 있는 공간을 살균하는 살균기 지금 만나보시기 바랍니다.,2021.04.19-2021.05.11,"500,000원"
32,테크·가전,[3369%앵콜]음악과 속도에 심장이 뛰는 당신에게 클립쉬X맥라렌 콜라보,주식회사 씨제이에스,707%,"7,074,000원",11일 남음,31,33,"3369% 달성으로 다시 돌아온 70년 이상의 음향기술 역사와 극강의 편안함, 강력한 방진방수 기능을 입은 [클립쉬 X 맥라렌 콜라보 에디션]",2021.04.26-2021.05.10,"1,000,000원"
33,테크·가전,[5.0앵콜] 복부 지압 마사지 이제 집에서 받아요! 복부 전문 관리기,쉬안 주식회사,1990%,"19,907,800원",4일 남음,71,91,"이런 복부관리기는 없었다ㅣ건강의 기본은 장(腸), 20만원대로 4,500번의 손으로 누르는 맛을 집에서 직접 느껴보세요! 복부를 꾹꾹 눌러주는 쉬안 고급형 유, 무선 복부관리기",2021.04.20-2021.05.03,"1,000,000원"
34,테크·가전,1대로 4대 효과! 사각없는 720도 홈카메라 [라운드아이],(주)에이치디텔레콤,1554%,"15,545,000원",18일 남음,129,118,"2개의 어안렌즈로 상하360, 좌우360로 전체 720도가 촬영되는 홈카메라입니다. 사각없는 영상과 빠른 스크롤로 빠짐없이 영상을 확인하세요!",2021.04.24-2021.05.17,"1,000,000원"
